,Diagnosis,Symptoms,Weight
1,Abdominal trauma,"['Trauma', 'Lower abdominal pain']",2.0
2,Abrasions (scrapes),"['Painful rash', 'Arm ache or pain', 'Pain or soreness of breast', 'Chest pressure', 'Ear pressure', 'Headache', 'Leg ache or pain', 'Neck ache or pain', 'Rash', 'Skin sores', 'Chest pain']",0.36
3,ACE inhibitor induced cough blood pressure medication side effect Drug-induced cough Drug reaction: ACE inhibitor,"['Cough', 'Mouth swelling', 'Lip swelling', 'Eye swelling']",1.0
4,acetaminophen overdose Adverse reaction to acetaminophen,"['Overdose', 'Poisoning']",3.0
7,Acid LSD abuse,['Substance abuse (Drug abuse)'],
9,Adenoiditis (a type of lymph node inflammation),['Snoring'],1.67
10,Alcohol ethanol poisoning (overdose),"['Alcohol abuse', 'Choking']",2.0
12,Allergic reaction,"['Hives', 'Skin itching', 'Rash', 'Itchy rash (Pruritic rash)', 'Mouth swelling', 'Lip swelling', 'Eye swelling', 'Swollen gums', 'Foot itching', 'Arm swelling', 'Ear swelling', 'Cough', 'Arm itching', 'Hand redness', 'Foot redness', 'Arm redness', 'Hand itching', 'Lower abdominal pain', 'Chest pressure', 'Dizziness', 'Fainting', 'Shortness of breath', 'Skin sores']",2.57
13,Allergy,"['Sinus pain and pressure', 'Snoring']",1.8
14,Altitude illness Illnesses due to high altitude effects,"['Unsteady gait (Trouble walking)', 'Loss of balance', 'Confusion', 'Confusion and headache']",1.17
15,Amphetamine abuse,"['Delusions or hallucinations', 'Insomnia (Trouble sleeping)', 'Anxiety (Nervousness)', 'Dizziness', 'Headache', 'Substance abuse (Drug abuse)']",1.29
16,Amphetamine overdose,"['Overdose', 'Poisoning']",1.75
17,Anaphylactoid reactions (pseudo allergic reaction),"['Hives', 'Itchy rash (Pruritic rash)', 'Mouth swelling', 'Lip swelling']",2.0
18,Anaphylaxis (severe/life threatening allergic reaction),"['Hives', 'Shortness of breath', 'Itchy rash (Pruritic rash)', 'Mouth swelling', 'Skin swelling', 'Lip swelling']",2.18
22,Ant bite,"['Arm itching', 'Foot itching', 'Hand redness', 'Foot redness', 'Arm redness', 'Hand itching']",0.18
23,Anticholinergic drug overdose,"['Urinary retention (Inability to urinate)', 'Poisoning', 'Foot redness', 'Hand redness', 'Arm redness']",1.33
24,Antidepressant overdose,"['Overdose', 'Poisoning']",1.67
25,Aortic valve stenosis tight heart valve,"['Heart pulsations and palpitations', 'Chest pain']",0.0
27,Arm swelling,['Arm swelling'],0.0
28,"Arteriovenous malformation blood vessel abnormality, AVM",['Nasal bleeding'],1.0
29,Arthritis joint inflammation,"['Arm ache or pain', 'Back ache or pain', 'Leg ache or pain', 'Neck ache or pain', 'Low back ache or pain']",0.79
30,Aspirin salicylates overdose,"['Overdose', 'Poisoning', 'Ringing in ears (Tinnitus)']",3.0
31,Atopic dermatitis eczema,"['Skin itching', 'Rash', 'Itchy rash (Pruritic rash)', 'Skin sores']",2.0
32,Autoimmune conditions,"['Fever of unknown origin', 'Mouth ulcers']",1.0
33,Autoimmune disease,"['Lethargy (Sluggishness)', 'Muscle pain', 'Jaundice (Yellowing skin)']",0.75
36,Bacterial vaginosis vaginal infection,"['Vaginal pain', 'Lower abdominal pain', 'Back ache or pain', 'Skin itching', 'Rash', 'Skin sores', 'Stomach and abdominal pain']",
38,Bartholin abscess or cyst sac of pus near the vaginal opening,"['Vaginal pain', 'Skin sores']",1.0
39,Beta blocker overdose blood pressure medication overdose,"['Overdose', 'Poisoning']",1.0
40,Bee sting wasp sting,"['Skin swelling', 'Lip swelling', 'Ear swelling', 'Arm itching', 'Foot itching', 'Hand redness', 'Foot redness', 'Arm redness', 'Hand itching']",1.88
41,Benign prostatic hyperplasia prostate enlargement,"['Frequent urination (Frequency)', 'Blood in urine (Hematuria)', 'Urinary retention (Inability to urinate)']",1.0
42,Benzodiazepine Valium abuse,"['Substance abuse (Drug abuse)', 'Depressed']",0.5
43,Benzodiazepine Valium overdose,"['Overdose', 'Poisoning', 'Change in behavior']",2.0
46,Breast cancer tumor,"['Pain or soreness of breast', 'Dizziness', 'Chest pain', 'Nipple discharge']",1.6
47,Breast fibroadenoma benign breast lumps,"['Pain or soreness of breast', 'Nipple discharge']",1.33
48,Bronchiolitis bronchial tube inflammation,['Shortness of breath'],0.88
50,Burning mouth syndrome,"['Mouth pain', 'Painful gums', 'Sore throat', 'Throat pain']",
